2024-03-19 14:50:10.137 [info] Log level: Info
2024-03-19 14:50:10.137 [info] Validating found git in: "git"
2024-03-19 14:50:10.137 [info] Using git "2.43.2" from "git"
2024-03-19 14:50:10.137 [info] > git rev-parse --show-toplevel [5ms]
2024-03-19 14:50:10.140 [info] > git rev-parse --show-toplevel [3ms]
2024-03-19 14:50:12.710 [info] > git rev-parse --show-toplevel [129ms]
2024-03-19 14:50:17.280 [info] > git rev-parse --show-toplevel [3ms]
2024-03-19 14:50:23.031 [info] > git rev-parse --show-toplevel [1ms]
2024-03-19 14:50:58.375 [info] > git rev-parse --show-toplevel [8ms]
2024-03-19 14:51:07.584 [info] > git rev-parse --show-toplevel [4ms]
2024-03-19 14:51:14.277 [info] > git rev-parse --show-toplevel [7ms]
2024-03-19 14:51:18.930 [info] > git rev-parse --show-toplevel [2ms]
2024-03-19 14:51:23.587 [info] > git rev-parse --show-toplevel [4ms]
2024-03-19 14:51:29.704 [info] > git rev-parse --show-toplevel [2ms]
2024-03-19 14:51:32.581 [info] > git rev-parse --show-toplevel [5ms]
2024-03-19 14:51:43.946 [info] > git rev-parse --show-toplevel [11ms]
2024-03-19 14:51:53.985 [info] > git rev-parse --show-toplevel [5ms]
2024-03-19 14:52:05.360 [info] > git rev-parse --show-toplevel [4ms]
2024-03-19 14:52:43.650 [info] > git rev-parse --show-toplevel [6ms]
2024-03-19 14:54:33.150 [info] > git rev-parse --show-toplevel [5ms]
2024-03-19 14:55:44.430 [info] > git rev-parse --show-toplevel [4ms]
2024-03-19 14:56:02.560 [info] > git rev-parse --show-toplevel [9ms]
2024-03-19 14:56:06.170 [info] > git rev-parse --show-toplevel [8ms]
2024-03-19 14:56:14.307 [info] > git rev-parse --show-toplevel [2ms]
2024-03-19 14:56:18.515 [info] > git rev-parse --show-toplevel [6ms]
2024-03-19 14:56:39.023 [info] > git rev-parse --show-toplevel [3ms]
2024-03-19 14:56:45.832 [info] > git rev-parse --show-toplevel [3ms]
2024-03-19 14:56:47.155 [info] > git rev-parse --show-toplevel [4ms]
2024-03-19 14:56:49.082 [info] > git rev-parse --show-toplevel [3ms]
2024-03-19 14:56:56.456 [info] > git rev-parse --show-toplevel [2ms]
2024-03-19 14:57:38.194 [info] > git rev-parse --show-toplevel [4ms]
2024-03-19 14:57:39.849 [info] > git rev-parse --show-toplevel [6ms]
2024-03-19 14:57:43.433 [info] > git rev-parse --show-toplevel [10ms]
2024-03-19 14:57:48.533 [info] > git rev-parse --show-toplevel [10ms]
2024-03-19 14:57:51.297 [info] > git rev-parse --show-toplevel [2ms]
2024-03-19 14:57:59.964 [info] > git rev-parse --show-toplevel [5ms]
2024-03-19 14:58:02.032 [info] > git rev-parse --show-toplevel [2ms]
2024-03-19 14:58:03.648 [info] > git rev-parse --show-toplevel [2ms]
2024-03-19 14:58:56.403 [info] > git rev-parse --show-toplevel [10ms]
2024-03-19 14:59:21.817 [info] > git rev-parse --show-toplevel [5ms]
2024-03-19 15:01:43.100 [info] > git rev-parse --show-toplevel [7ms]
2024-03-19 15:02:45.232 [info] > git rev-parse --show-toplevel [3ms]
2024-03-19 15:02:47.205 [info] > git rev-parse --show-toplevel [4ms]
2024-03-19 15:03:30.932 [info] > git rev-parse --show-toplevel [6ms]
2024-03-19 15:08:12.427 [info] > git rev-parse --show-toplevel [7ms]
