2024-03-19 10:55:26.612 [info] Log level: Info
2024-03-19 10:55:26.612 [info] Validating found git in: "git"
2024-03-19 10:55:26.612 [info] Using git "2.43.2" from "git"
2024-03-19 10:55:26.612 [info] > git rev-parse --show-toplevel [25ms]
2024-03-19 10:55:26.612 [info] > git rev-parse --show-toplevel [6ms]
2024-03-19 10:55:26.658 [info] > git rev-parse --show-toplevel [9ms]
2024-03-19 10:55:27.368 [info] > git rev-parse --show-toplevel [17ms]
2024-03-19 10:55:28.308 [info] > git rev-parse --show-toplevel [8ms]
2024-03-19 10:55:30.616 [info] > git rev-parse --show-toplevel [2ms]
2024-03-19 10:55:31.561 [info] > git rev-parse --show-toplevel [4ms]
2024-03-19 10:55:38.621 [info] > git rev-parse --show-toplevel [13ms]
2024-03-19 10:55:47.815 [info] > git rev-parse --show-toplevel [5ms]
